city,date,rate
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-22,70.32
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-25,70.39
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-27,70.44
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-04-30,70.49
Ahmedabad,2019-05-02,70.43
Ahmedabad,2019-05-04,70.44
Ahmedabad,2019-05-05,70.38
Ahmedabad,2019-05-06,70.31
Ahmedabad,2019-05-09,70.16
Ahmedabad,2019-05-10,69.96
Ahmedabad,2019-05-11,69.49
Ahmedabad,2019-05-12,69.09
Ahmedabad,2019-05-13,68.8
Ahmedabad,2019-05-14,68.56
Ahmedabad,2019-05-17,68.48
Ahmedabad,2019-05-18,68.41
Ahmedabad,2019-05-20,68.5
Ahmedabad,2019-05-21,68.55
Ahmedabad,2019-05-23,68.63
Ahmedabad,2019-05-24,68.76
Ahmedabad,2019-05-25,68.9
Ahmedabad,2019-05-26,69.03
Ahmedabad,2019-05-27,69.13
Ahmedabad,2019-05-28,69.21
Ahmedabad,2019-05-30,69.16
Ahmedabad,2019-05-31,69.09
Ahmedabad,2019-06-01,69.05
Ahmedabad,2019-06-02,68.94
Ahmedabad,2019-06-03,68.74
Ahmedabad,2019-06-04,68.68
Ahmedabad,2019-06-06,68.52
Ahmedabad,2019-06-07,68.4
Ahmedabad,2019-06-10,67.91
Ahmedabad,2019-06-13,67.83
Ahmedabad,2019-06-14,67.67
Ahmedabad,2019-06-15,67.48
Ahmedabad,2019-06-16,67.42
Ahmedabad,2019-06-24,67.54
Ahmedabad,2019-06-27,67.61
Ahmedabad,2019-06-28,67.66
Ahmedabad,2019-06-29,67.76
Ahmedabad,2019-06-30,67.85
Ahmedabad,2019-07-01,67.94
Ahmedabad,2019-07-02,68.01
Ahmedabad,2019-07-06,70.36
Ahmedabad,2019-07-09,70.31
Ahmedabad,2019-07-13,70.4
Ahmedabad,2019-07-14,70.48
Ahmedabad,2019-07-15,70.61
Ahmedabad,2019-07-16,70.67
Ahmedabad,2019-07-18,70.74
Ahmedabad,2019-07-23,70.8
Ahmedabad,2019-07-25,70.74
Ahmedabad,2019-07-26,70.69
Ahmedabad,2019-07-27,70.64
Ahmedabad,2019-07-28,70.54
Ahmedabad,2019-07-29,70.4
Ahmedabad,2019-07-30,70.27
Ahmedabad,2019-08-01,70.21
Ahmedabad,2019-08-02,70.06
Ahmedabad,2019-08-03,69.99
Ahmedabad,2019-08-04,69.9
Ahmedabad,2019-08-05,69.76
Ahmedabad,2019-08-06,69.67
Ahmedabad,2019-08-08,69.63
Ahmedabad,2019-08-09,69.49
Ahmedabad,2019-08-11,69.4
Ahmedabad,2019-08-18,69.32
Ahmedabad,2019-08-19,69.26
Ahmedabad,2019-08-24,69.33
Ahmedabad,2019-08-25,69.4
Ahmedabad,2019-08-26,69.48
Ahmedabad,2019-08-29,69.42
Ahmedabad,2019-09-05,69.39
Ahmedabad,2019-09-06,69.31
Ahmedabad,2019-09-07,69.22
Ahmedabad,2019-09-08,69.16
Ahmedabad,2019-09-10,69.21
Ahmedabad,2019-09-12,69.27
Ahmedabad,2019-09-13,69.34
Ahmedabad,2019-09-14,69.41
Ahmedabad,2019-09-15,69.47
Ahmedabad,2019-09-17,69.61
Ahmedabad,2019-09-18,69.85
Ahmedabad,2019-09-19,70.13
Ahmedabad,2019-09-20,70.46
Ahmedabad,2019-09-21,70.74
Ahmedabad,2019-09-22,71.0
Ahmedabad,2019-09-23,71.28
Ahmedabad,2019-09-24,71.49
Ahmedabad,2019-09-26,71.55
Ahmedabad,2019-09-27,71.7
Ahmedabad,2019-09-30,71.77
Ahmedabad,2019-10-01,71.98
Ahmedabad,2019-10-03,71.88
Ahmedabad,2019-10-04,71.71
Ahmedabad,2019-10-05,71.43
Ahmedabad,2019-10-07,71.16
Ahmedabad,2019-10-08,71.0
Ahmedabad,2019-10-10,70.95
Ahmedabad,2019-10-11,70.83
Ahmedabad,2019-10-12,70.74
Ahmedabad,2019-10-15,70.69
Ahmedabad,2019-10-22,70.64
Ahmedabad,2019-10-24,70.59
Ahmedabad,2019-10-25,70.49
Ahmedabad,2019-10-26,70.41
Ahmedabad,2019-10-29,70.35
Ahmedabad,2019-11-01,70.24
Ahmedabad,2019-11-02,70.17
Ahmedabad,2019-11-03,70.12
Ahmedabad,2019-11-04,70.04
Ahmedabad,2019-11-05,69.99
Ahmedabad,2019-11-08,70.08
Ahmedabad,2019-11-09,70.23
Ahmedabad,2019-11-10,70.42
Ahmedabad,2019-11-11,70.57
Ahmedabad,2019-11-13,70.66
Ahmedabad,2019-11-14,70.81
Ahmedabad,2019-11-15,70.98
Ahmedabad,2019-11-16,71.12
Ahmedabad,2019-11-17,71.23
Ahmedabad,2019-11-18,71.39
Ahmedabad,2019-11-19,71.53
Ahmedabad,2019-11-22,71.67
Ahmedabad,2019-11-23,71.76
Ahmedabad,2019-11-24,71.86
Ahmedabad,2019-11-25,71.97
Ahmedabad,2019-11-26,72.07
Ahmedabad,2019-11-29,72.12
Ahmedabad,2019-11-30,72.173
Ahmedabad,2019-12-01,72.28
Ahmedabad,2019-12-07,72.19
Ahmedabad,2019-12-08,72.28
Ahmedabad,2019-12-09,72.33
Ahmedabad,2019-12-10,72.34
Ahmedabad,2019-12-12,72.29
Ahmedabad,2019-12-13,72.23
Ahmedabad,2019-12-14,72.18
Ahmedabad,2019-12-15,72.09
Ahmedabad,2019-12-16,72.04
Ahmedabad,2019-12-17,71.99
Ahmedabad,2019-12-19,71.98
Ahmedabad,2019-12-26,72.03
Ahmedabad,2019-12-27,72.09
Ahmedabad,2019-12-29,72.22
Ahmedabad,2019-12-30,72.38
Ahmedabad,2019-12-31,72.47
Ahmedabad,2020-01-02,72.6
Ahmedabad,2020-01-03,72.69
Ahmedabad,2020-01-04,72.79
Ahmedabad,2020-01-05,72.88
Ahmedabad,2020-01-06,73.02
Ahmedabad,2020-01-07,73.17
Ahmedabad,2020-01-08,73.07
Ahmedabad,2020-01-09,73.14
Ahmedabad,2020-01-10,73.28
Ahmedabad,2020-01-11,73.33
Ahmedabad,2020-01-12,73.23
Ahmedabad,2020-01-13,73.13
Ahmedabad,2020-01-14,73.03
Ahmedabad,2020-01-16,72.89
Ahmedabad,2020-01-17,72.75
Ahmedabad,2020-01-18,72.61
Ahmedabad,2020-01-19,72.44
Ahmedabad,2020-01-20,72.34
Ahmedabad,2020-01-21,72.18
Ahmedabad,2020-01-23,72.0
Ahmedabad,2020-01-24,71.78
Ahmedabad,2020-01-25,71.53
Ahmedabad,2020-01-26,71.23
Ahmedabad,2020-01-27,71.11
Ahmedabad,2020-01-28,71.01
Ahmedabad,2020-01-30,70.77
Ahmedabad,2020-01-31,70.69
Ahmedabad,2020-02-01,70.56
Ahmedabad,2020-02-02,70.46
Ahmedabad,2020-02-03,70.41
Ahmedabad,2020-02-04,70.36
Ahmedabad,2020-02-06,70.27
Ahmedabad,2020-02-07,70.07
Ahmedabad,2020-02-08,69.84
Ahmedabad,2020-02-09,69.63
Ahmedabad,2020-02-10,69.53
Ahmedabad,2020-02-11,69.37
Ahmedabad,2020-02-18,69.32
Ahmedabad,2020-02-24,69.44
Ahmedabad,2020-02-27,69.39
Ahmedabad,2020-02-29,69.32
Ahmedabad,2020-03-01,69.19
Ahmedabad,2020-03-02,68.98
Ahmedabad,2020-03-03,68.93
Ahmedabad,2020-03-05,68.78
Ahmedabad,2020-03-06,68.64
Ahmedabad,2020-03-07,68.52
Ahmedabad,2020-03-08,68.34
Ahmedabad,2020-03-09,68.11
Ahmedabad,2020-03-10,67.81
Ahmedabad,2020-03-12,67.68
Ahmedabad,2020-03-13,67.54
Ahmedabad,2020-03-14,67.41
Ahmedabad,2020-03-15,67.3
Ahmedabad,2020-03-16,67.15
Ahmedabad,2020-06-07,67.75
Ahmedabad,2020-06-08,68.35
Ahmedabad,2020-06-09,68.89
Ahmedabad,2020-06-10,69.29
Ahmedabad,2020-06-11,69.89
Ahmedabad,2020-06-12,70.49
Ahmedabad,2020-06-13,71.09
Ahmedabad,2020-06-14,71.69
Ahmedabad,2020-06-15,71.86
Ahmedabad,2020-06-16,74.32
Ahmedabad,2020-06-17,74.85
Ahmedabad,2020-06-18,75.36
Ahmedabad,2020-06-19,75.9
Ahmedabad,2020-06-20,76.4
Ahmedabad,2020-06-21,76.74
Ahmedabad,2020-06-22,77.05
Ahmedabad,2020-06-23,77.24
Ahmedabad,2020-06-25,77.4
Ahmedabad,2020-06-26,77.61
Ahmedabad,2020-06-27,77.84
Ahmedabad,2020-06-29,77.89
Ahmedabad,2020-08-16,78.07
Ahmedabad,2020-08-17,78.22
Ahmedabad,2020-08-18,78.37
Ahmedabad,2020-08-20,78.47
Ahmedabad,2020-08-21,78.66
Ahmedabad,2020-08-22,78.81
Ahmedabad,2020-08-23,78.95
Ahmedabad,2020-08-24,79.07
Ahmedabad,2020-08-25,79.18
Ahmedabad,2020-08-27,79.28
Ahmedabad,2020-08-28,79.38
Ahmedabad,2020-08-30,79.47
Ahmedabad,2020-09-01,79.52
Ahmedabad,2020-09-10,79.43
Ahmedabad,2020-09-12,79.31
Ahmedabad,2020-09-14,79.17
Ahmedabad,2020-09-15,79.01
Ahmedabad,2020-09-17,78.86
Ahmedabad,2020-09-18,78.61
Ahmedabad,2020-09-22,78.53
Ahmedabad,2020-11-20,78.7
Ahmedabad,2020-11-21,78.83
Ahmedabad,2020-11-22,78.88
Ahmedabad,2020-11-23,78.94
Ahmedabad,2020-11-24,79.0
Ahmedabad,2020-11-26,79.11
Ahmedabad,2020-11-27,79.29
Ahmedabad,2020-11-28,79.52
Ahmedabad,2020-11-29,79.73
Ahmedabad,2020-12-02,79.87
Ahmedabad,2020-12-03,80.04
Ahmedabad,2020-12-04,80.23
Ahmedabad,2020-12-05,80.49
Ahmedabad,2020-12-06,80.76
Ahmedabad,2020-12-07,81.05
Ahmedabad,2021-01-05,81.05
Ahmedabad,2021-01-06,81.32
Ahmedabad,2021-01-07,81.57
Ahmedabad,2021-01-08,81.57
Ahmedabad,2021-01-09,81.57
Ahmedabad,2021-01-10,81.57
Ahmedabad,2021-01-11,81.57
Ahmedabad,2021-01-12,81.57
Ahmedabad,2021-01-13,81.81
Ahmedabad,2021-01-14,82.05
Ahmedabad,2021-01-15,82.05
Ahmedabad,2021-01-16,82.05
Ahmedabad,2021-01-17,82.05
Ahmedabad,2021-01-18,82.29
Ahmedabad,2021-01-19,82.53
Ahmedabad,2021-01-20,82.53
Ahmedabad,2021-01-21,82.53
Ahmedabad,2021-01-22,82.77
Ahmedabad,2021-01-23,83.02
Ahmedabad,2021-01-24,83.02
Ahmedabad,2021-01-25,83.02
Ahmedabad,2021-01-26,83.36
Ahmedabad,2021-01-27,83.6
Ahmedabad,2021-01-28,83.6
Ahmedabad,2021-01-29,83.6
Ahmedabad,2021-01-30,83.6
Ahmedabad,2021-01-31,83.6
Ahmedabad,2021-02-01,83.6
Ahmedabad,2021-02-02,83.6
Ahmedabad,2021-02-03,83.6
Ahmedabad,2021-02-04,83.92
Ahmedabad,2021-02-05,84.21
Ahmedabad,2021-02-06,84.21
Ahmedabad,2021-02-07,84.21
Ahmedabad,2021-02-08,84.21
Ahmedabad,2021-02-09,84.55
Ahmedabad,2021-02-10,84.84
Ahmedabad,2021-02-11,85.08
Ahmedabad,2021-02-12,85.36
Ahmedabad,2021-02-13,85.65
Ahmedabad,2021-02-14,85.93
Ahmedabad,2021-02-15,86.18
Ahmedabad,2021-02-16,86.47
Ahmedabad,2021-02-17,86.72
Ahmedabad,2021-02-18,87.05
Ahmedabad,2021-02-19,87.34
Ahmedabad,2021-02-20,87.72
Ahmedabad,2021-02-21,87.72
Ahmedabad,2021-02-22,87.72
Ahmedabad,2021-02-23,88.06
Ahmedabad,2021-02-24,88.06
Ahmedabad,2021-02-25,88.06
Ahmedabad,2021-02-26,88.06
Ahmedabad,2021-02-27,88.29
Ahmedabad,2021-02-28,88.29
Ahmedabad,2021-03-01,88.29
Ahmedabad,2021-03-02,88.29
Ahmedabad,2021-03-03,88.29
Ahmedabad,2021-03-04,88.29
Ahmedabad,2021-03-05,88.29
Ahmedabad,2021-03-06,88.29
Ahmedabad,2021-03-07,88.29
Ahmedabad,2021-03-08,88.29
Ahmedabad,2021-03-09,88.29
Ahmedabad,2021-03-10,88.29
Ahmedabad,2021-03-11,88.29
Ahmedabad,2021-03-12,88.29
Ahmedabad,2021-03-13,88.29
Ahmedabad,2021-03-14,88.29
